@relation testdata
@attribute YOKO0 numeric
@attribute YOKO1 numeric
@attribute YOKO2 numeric
@attribute YOKO3 numeric
@attribute YOKO4 numeric
@attribute YOKO5 numeric
@attribute YOKO6 numeric
@attribute TATE4 numeric
@attribute TATE3 numeric
@attribute TATE2 numeric
@attribute TATE1 numeric
@attribute TATE0 numeric
@attribute SUMTplusSUMY numeric
@attribute aveY numeric
@attribute aveT numeric
@attribute variT numeric
@attribute variY numeric
@attribute class {p1,p2,p3,p4,p5,p6,p7,p8,p9,s1,s2,s3,s4,s5,s6,s7,s8,s9,m1,m2,m3,m4,m5,m6,m7,m8,m9,z1,z2,z3,z4,z5,z6,z7}

@data
82.000000,606.000000,55.000000,569.000000,679.000000,836.000000,769.000000,50.000000,1009.000000,1643.000000,880.000000,18.000000,7196.000000,513.714286,720.000000,380550.800000,86389.632653,?
256.000000,641.000000,730.000000,390.000000,729.000000,690.000000,1032.000000,44.000000,1208.000000,2105.000000,1114.000000,60.000000,8999.000000,638.285714,906.200000,606165.760000,54588.775510,?
244.000000,654.000000,771.000000,374.000000,726.000000,711.000000,1071.000000,35.000000,1146.000000,2102.000000,1254.000000,96.000000,9184.000000,650.142857,926.600000,604347.840000,63200.979592,?
326.000000,1042.000000,469.000000,404.000000,658.000000,715.000000,881.000000,32.000000,784.000000,1902.000000,1476.000000,323.000000,9012.000000,642.142857,903.400000,487106.240000,58447.836735,?
314.000000,629.000000,987.000000,397.000000,730.000000,691.000000,1064.000000,44.000000,779.000000,2115.000000,1684.000000,284.000000,9718.000000,687.428571,981.200000,636949.360000,65797.959184,?
354.000000,619.000000,888.000000,406.000000,681.000000,729.000000,953.000000,38.000000,575.000000,2016.000000,1696.000000,355.000000,9310.000000,661.428571,936.000000,603657.200000,43264.816327,?
500.000000,676.000000,1080.000000,823.000000,1141.000000,869.000000,849.000000,385.000000,2100.000000,1004.000000,1449.000000,1160.000000,12036.000000,848.285714,1219.600000,314864.240000,41632.489796,?
503.000000,676.000000,1079.000000,840.000000,1200.000000,870.000000,833.000000,382.000000,2052.000000,1033.000000,1494.000000,1182.000000,12144.000000,857.285714,1228.600000,301117.440000,46577.632653,?
647.000000,1317.000000,1025.000000,215.000000,1127.000000,1308.000000,728.000000,651.000000,1890.000000,1096.000000,1541.000000,1271.000000,12816.000000,909.571429,1289.800000,173863.760000,138526.244898,?
580.000000,1279.000000,1096.000000,249.000000,1071.000000,1350.000000,820.000000,574.000000,1922.000000,1109.000000,1490.000000,1384.000000,12924.000000,920.714286,1295.800000,198701.760000,134770.775510,?
559.000000,963.000000,857.000000,1026.000000,969.000000,1037.000000,1076.000000,284.000000,1910.000000,1638.000000,1287.000000,1523.000000,13129.000000,926.714286,1328.400000,312893.040000,26783.632653,?
164.000000,1245.000000,869.000000,0.000000,121.000000,1301.000000,1056.000000,78.000000,1130.000000,1262.000000,1230.000000,1068.000000,9524.000000,679.428571,953.600000,196477.440000,274728.244898,?
150.000000,1241.000000,1113.000000,628.000000,675.000000,1291.000000,1115.000000,100.000000,1038.000000,1993.000000,2008.000000,1100.000000,12452.000000,887.571429,1247.800000,503306.560000,149540.530612,?
